userID,firstName,lastName,industry,school,profileImageScr,closeFriends,farFriends,closenessScores
0,Liam,Torres,Finance,Havard,profileImages/48.jpg,"[5, 30, 62, 89, 44]","[31, 2, 43, 87, 41, 55, 5, 21, 17, 11]","{'0': 1.0, '1': 0.0, '2': 0.3006535947712418, '3': 0.15384615384615385, '4': 0.14705882352941177, '5': 0.4444444444444444, '6': 0.0, '7': 0.15384615384615385, '8': 0.1517580716497125, '9': 0.15058823529411766, '10': 0.013448969331322273, '11': 0.45462543991955756, '12': 0.14705882352941177, '13': 0.0032679738562091504, '14': 0.0, '15': 0.004699248120300752, '16': 0.015345268542199489, '17': 0.3022015823873409, '18': 0.008083935328517372, '19': 0.004815961472308222, '20': 0.0032679738562091504, '21': 0.3430512555899553, '22': 0.008083935328517372, '23': 0.008083935328517372, '24': 0.0031512605042016808, '25': 0.04076367389060887, '26': 0.03594771241830066, '27': 0.00980392156862745, '28': 0.00980392156862745, '29': 0.008335317932841153, '30': 0.3273828247876691, '31': 0.3348813209494324, '32': 0.0, '33': 0.19146754518271544, '34': 0.00980392156862745, '35': 0.0392156862745098, '36': 0.04612870789341378, '37': 0.16444444444444445, '38': 0.04076367389060887, '39': 0.008083935328517372, '40': 0.01738562091503268, '41': 0.30669504643962847, '42': 0.004815961472308222, '43': 0.3009049773755656, '44': 0.3385263687121272, '45': 0.008083935328517372, '46': 0.16444444444444445, '47': 0.012136222910216718, '48': 0.004815961472308222, '49': 0.008606811145510837, '50': 0.08525839485591809, '51': 0.004699248120300752, '52': 0.013448969331322273, '53': 0.010055304172951232, '54': 0.0, '55': 0.4477124183006536, '56': 0.004699248120300752, '57': 0.008083935328517372, '58': 0.16283737024221454, '59': 0.00980392156862745, '60': 0.0031512605042016808, '61': 0.010055304172951232, '62': 0.15021008403361344, '63': 0.0, '64': 0.15021008403361344, '65': 0.013856209150326797, '66': 0.015371306893798245, '67': 0.0033936651583710412, '68': 0.16091503267973856, '69': 0.18807388002434441, '70': 0.0156656346749226, '71': 0.004699248120300752, '72': 0.15919504643962848, '73': 0.15021008403361344, '74': 0.015371306893798245, '75': 0.0, '76': 0.04128654970760234, '77': 0.042860734037204626, '78': 0.01738562091503268, '79': 0.16272445820433437, '80': 0.1503267973856209, '81': 0.0, '82': 0.008083935328517372, '83': 0.0032679738562091504, '84': 0.03583099906629319, '85': 0.0, '86': 0.01930795847750865, '87': 0.303921568627451, '88': 0.004699248120300752, '89': 0.19963475586312956, '90': 0.004699248120300752, '91': 0.042860734037204626, '92': 0.0392156862745098, '93': 0.03583099906629319, '94': 0.1517580716497125, '95': 0.013448969331322273, '96': 0.15021008403361344, '97': 0.0067873303167420825, '98': 0.004699248120300752, '99': 0.03583099906629319}"
1,Noah,Lewis,Marketing,Boston University,profileImages/8.jpg,"[38, 94, 76, 80, 39]","[66, 90, 29, 28, 64, 84, 97, 76, 16, 59]","{'0': 0.0, '1': 1.0, '2': 0.0031512605042016808, '3': 0.0032679738562091504, '4': 0.0, '5': 0.0, '6': 0.0032679738562091504, '7': 0.0, '8': 0.006535947712418301, '9': 0.0, '10': 0.006535947712418301, '11': 0.008083935328517372, '12': 0.006535947712418301, '13': 0.14705882352941177, '14': 0.004699248120300752, '15': 0.16444444444444445, '16': 0.30444444444444446, '17': 0.00980392156862745, '18': 0.0031512605042016808, '19': 0.02244955953395851, '20': 0.017973856209150325, '21': 0.004815961472308222, '22': 0.004699248120300752, '23': 0.006535947712418301, '24': 0.00980392156862745, '25': 0.04076367389060887, '26': 0.0067873303167420825, '27': 0.008083935328517372, '28': 0.33333333333333337, '29': 0.3024529649916647, '30': 0.04076367389060887, '31': 0.008083935328517372, '32': 0.0, '33': 0.0444087216533037, '34': 0.0031512605042016808, '35': 0.054330065359477125, '36': 0.01930795847750865, '37': 0.008083935328517372, '38': 0.15175807164971253, '39': 0.29881689517912424, '40': 0.0, '41': 0.0049416527744701125, '42': 0.09790130886114036, '43': 0.019896193771626297, '44': 0.011728983091212196, '45': 0.013448969331322273, '46': 0.0031512605042016808, '47': 0.0032679738562091504, '48': 0.15539414146225292, '49': 0.04370915032679739, '50': 0.19146754518271544, '51': 0.015371306893798245, '52': 0.0031512605042016808, '53': 0.008335317932841153, '54': 0.19318753142282552, '55': 0.0483453732370141, '56': 0.15514275885792914, '57': 0.008083935328517372, '58': 0.008335317932841153, '59': 0.29411764705882354, '60': 0.056252402921953104, '61': 0.15384615384615385, '62': 0.04076367389060887, '63': 0.03594771241830066, '64': 0.3058466301500357, '65': 0.008335317932841153, '66': 0.44587571870853604, '67': 0.15200047630388186, '68': 0.0, '69': 0.004815961472308222, '70': 0.013448969331322273, '71': 0.0392156862745098, '72': 0.004815961472308222, '73': 0.054330065359477125, '74': 0.0, '75': 0.004815961472308222, '76': 0.4445701357466063, '77': 0.04076367389060887, '78': 0.04076367389060887, '79': 0.0392156862745098, '80': 0.157114127702363, '81': 0.0031512605042016808, '82': 0.008083935328517372, '83': 0.04481596147230822, '84': 0.45098039215686275, '85': 0.018613242398408638, '86': 0.15359477124183007, '87': 0.0031512605042016808, '88': 0.013448969331322273, '89': 0.15187478500171997, '90': 0.3022015823873409, '91': 0.011728983091212196, '92': 0.16272445820433437, '93': 0.0031512605042016808, '94': 0.15514275885792914, '95': 0.004699248120300752, '96': 0.00980392156862745, '97': 0.30797385620915035, '98': 0.14705882352941177, '99': 0.004699248120300752}"
2,Oliver,Hall,Engineering,MIT,profileImages/9.jpg,"[86, 70, 78, 37, 21]","[0, 68, 40, 34, 94, 8, 74, 65, 44, 53]","{'0': 0.3006535947712418, '1': 0.0031512605042016808, '2': 1.0, '3': 0.0, '4': 0.0030425963488843813, '5': 0.15878780662062394, '6': 0.006535947712418301, '7': 0.0031512605042016808, '8': 0.2971602434077079, '9': 0.0, '10': 0.016842634489693316, '11': 0.011351909184726523, '12': 0.0063025210084033615, '13': 0.004699248120300752, '14': 0.0, '15': 0.0030425963488843813, '16': 0.008335317932841153, '17': 0.009570494864612512, '18': 0.004590583964983452, '19': 0.00980392156862745, '20': 0.1568627450980392, '21': 0.19712418300653595, '22': 0.0, '23': 0.007850508624502433, '24': 0.007850508624502433, '25': 0.004590583964983452, '26': 0.15514275885792914, '27': 0.1516494074943952, '28': 0.013574660633484165, '29': 0.18288982259570494, '30': 0.04952237305178482, '31': 0.014994232987312572, '32': 0.18604108309990663, '33': 0.04575163398692811, '34': 0.3004201680672269, '35': 0.0063025210084033615, '36': 0.0063025210084033615, '37': 0.15010141987829614, '38': 0.15841073271413827, '39': 0.004590583964983452, '40': 0.3036881419234361, '41': 0.013856209150326797, '42': 0.15514275885792914, '43': 0.011728983091212196, '44': 0.3004201680672269, '45': 0.004590583964983452, '46': 0.007850508624502433, '47': 0.0, '48': 0.004699248120300752, '49': 0.15539414146225292, '50': 0.04780238681167474, '51': 0.009570494864612512, '52': 0.044031647746818024, '53': 0.33333333333333337, '54': 0.004590583964983452, '55': 0.004590583964983452, '56': 0.009570494864612512, '57': 0.035722334910975886, '58': 0.0031512605042016808, '59': 0.0063025210084033615, '60': 0.007850508624502433, '61': 0.008083935328517372, '62': 0.020915032679738564, '63': 0.0392156862745098, '64': 0.0030425963488843813, '65': 0.29411764705882354, '66': 0.0, '67': 0.0, '68': 0.34418300653594774, '69': 0.08525839485591809, '70': 0.1965811965811966, '71': 0.011351909184726523, '72': 0.0031512605042016808, '73': 0.05144471061426079, '74': 0.38448969331322275, '75': 0.013448969331322273, '76': 0.010055304172951232, '77': 0.0030425963488843813, '78': 0.16797385620915034, '79': 0.022837370242214536, '80': 0.004699248120300752, '81': 0.013574660633484165, '82': 0.15662931839402428, '83': 0.011728983091212196, '84': 0.0063025210084033615, '85': 0.008335317932841153, '86': 0.15336134453781514, '87': 0.022837370242214536, '88': 0.1516494074943952, '89': 0.010180995475113124, '90': 0.0, '91': 0.1549093321539142, '92': 0.0130718954248366, '93': 0.1549093321539142, '94': 0.3298399819697994, '95': 0.19893360853113173, '96': 0.0130718954248366, '97': 0.04076367389060887, '98': 0.0, '99': 0.0130718954248366}"
3,William,Walker,Media/Entertainment,Havard,profileImages/14.jpg,"[95, 58, 27, 57, 17]","[26, 71, 58, 92, 6, 62, 79, 54, 77, 80]","{'0': 0.15384615384615385, '1': 0.0032679738562091504, '2': 0.0, '3': 1.0, '4': 0.15359477124183007, '5': 0.0067873303167420825, '6': 0.2973856209150327, '7': 0.1503267973856209, '8': 0.14705882352941177, '9': 0.14705882352941177, '10': 0.004699248120300752, '11': 0.15021008403361344, '12': 0.16636678200692043, '13': 0.004815961472308222, '14': 0.008083935328517372, '15': 0.023572664359861592, '16': 0.0049416527744701125, '17': 0.15175807164971253, '18': 0.006535947712418301, '19': 0.004815961472308222, '20': 0.04101505649493266, '21': 0.004815961472308222, '22': 0.0483453732370141, '23': 0.006535947712418301, '24': 0.008083935328517372, '25': 0.006535947712418301, '26': 0.3098961937716263, '27': 0.14705882352941177, '28': 0.0, '29': 0.010055304172951232, '30': 0.1517580716497125, '31': 0.011728983091212196, '32': 0.008083935328517372, '33': 0.15021008403361344, '34': 0.05006535947712419, '35': 0.004699248120300752, '36': 0.0, '37': 0.16050779286073402, '38': 0.0156656346749226, '39': 0.008083935328517372, '40': 0.004699248120300752, '41': 0.04957299472039006, '42': 0.0032679738562091504, '43': 0.0, '44': 0.15878780662062394, '45': 0.013448969331322273, '46': 0.18288982259570494, '47': 0.03594771241830066, '48': 0.01577854671280277, '49': 0.0049416527744701125, '50': 0.04679738562091504, '51': 0.03583099906629319, '52': 0.04076367389060887, '53': 0.016253869969040248, '54': 0.303921568627451, '55': 0.16272445820433437, '56': 0.0, '57': 0.19318753142282555, '58': 0.5882352941176471, '59': 0.010180995475113124, '60': 0.0, '61': 0.04326797385620915, '62': 0.3022015823873409, '63': 0.004815961472308222, '64': 0.16050779286073402, '65': 0.013856209150326797, '66': 0.0483453732370141, '67': 0.05600118835412954, '68': 0.15539414146225292, '69': 0.16283737024221454, '70': 0.013448969331322273, '71': 0.3075666163901458, '72': 0.16283737024221454, '73': 0.15359477124183007, '74': 0.004699248120300752, '75': 0.0, '76': 0.0033936651583710412, '77': 0.3022015823873409, '78': 0.0, '79': 0.44926040591675265, '80': 0.4550326797385621, '81': 0.00980392156862745, '82': 0.08371040723981901, '83': 0.013856209150326797, '84': 0.03583099906629319, '85': 0.0049416527744701125, '86': 0.09091503267973856, '87': 0.006535947712418301, '88': 0.006535947712418301, '89': 0.004815961472308222, '90': 0.008083935328517372, '91': 0.008083935328517372, '92': 0.29411764705882354, '93': 0.013448969331322273, '94': 0.1568627450980392, '95': 0.18782249742002063, '96': 0.15021008403361344, '97': 0.004815961472308222, '98': 0.006535947712418301, '99': 0.05006535947712419}"
4,Elijah,Perez,Healthcare,Havard,profileImages/28.jpg,"[48, 74, 71, 51, 93]","[75, 52, 81, 91, 61, 19, 46, 32, 57, 60]","{'0': 0.14705882352941177, '1': 0.0, '2': 0.0030425963488843813, '3': 0.15359477124183007, '4': 1.0, '5': 0.0031512605042016808, '6': 0.0031512605042016808, '7': 0.15021008403361344, '8': 0.15336134453781514, '9': 0.15411764705882353, '10': 0.004590583964983452, '11': 0.1549093321539142, '12': 0.15336134453781514, '13': 0.02165032679738562, '14': 0.0063025210084033615, '15': 0.009570494864612512, '16': 0.0, '17': 0.011351909184726523, '18': 0.009570494864612512, '19': 0.2988168951791243, '20': 0.0156656346749226, '21': 0.004699248120300752, '22': 0.042483660130718956, '23': 0.0130718954248366, '24': 0.0063025210084033615, '25': 0.05144471061426079, '26': 0.004699248120300752, '27': 0.011351909184726523, '28': 0.007850508624502433, '29': 0.03583099906629319, '30': 0.1516494074943952, '31': 0.0030425963488843813, '32': 0.30196815568332597, '33': 0.15010141987829614, '34': 0.00980392156862745, '35': 0.009570494864612512, '36': 0.004590583964983452, '37': 0.1895424836601307, '38': 0.04952237305178482, '39': 0.0130718954248366, '40': 0.019195046439628487, '41': 0.004815961472308222, '42': 0.015371306893798245, '43': 0.0031512605042016808, '44': 0.1516494074943952, '45': 0.007850508624502433, '46': 0.4490269792127377, '47': 0.05006535947712419, '48': 0.15021008403361344, '49': 0.04481596147230822, '50': 0.0063025210084033615, '51': 0.15164940749439523, '52': 0.3419200338704983, '53': 0.04612870789341378, '54': 0.038982259570494865, '55': 0.16205305651672433, '56': 0.007850508624502433, '57': 0.29411764705882354, '58': 0.18782249742002063, '59': 0.011351909184726523, '60': 0.29411764705882354, '61': 0.3299486461251167, '62': 0.004590583964983452, '63': 0.004699248120300752, '64': 0.17205882352941176, '65': 0.04076367389060887, '66': 0.007850508624502433, '67': 0.013856209150326797, '68': 0.20602443876101165, '69': 0.14705882352941177, '70': 0.007850508624502433, '71': 0.1584107327141383, '72': 0.19712418300653595, '73': 0.1875890707160057, '74': 0.14705882352941177, '75': 0.3075666163901458, '76': 0.0032679738562091504, '77': 0.016842634489693316, '78': 0.0, '79': 0.15010141987829614, '80': 0.15514275885792914, '81': 0.2971602434077079, '82': 0.007850508624502433, '83': 0.004699248120300752, '84': 0.0063025210084033615, '85': 0.008335317932841153, '86': 0.05551710880430605, '87': 0.011351909184726523, '88': 0.07983193277310925, '89': 0.04612870789341378, '90': 0.0, '91': 0.3004201680672269, '92': 0.011351909184726523, '93': 0.15010141987829614, '94': 0.15662931839402428, '95': 0.0030425963488843813, '96': 0.16390145801910508, '97': 0.008083935328517372, '98': 0.020915032679738564, '99': 0.007850508624502433}"
5,James,Martin,Media/Entertainment,MIT,profileImages/29.jpg,"[0, 92, 50, 91, 26]","[0, 78, 37, 23, 25, 22, 30, 42, 72, 18]","{'0': 0.4444444444444444, '1': 0.0, '2': 0.15878780662062394, '3': 0.0067873303167420825, '4': 0.0031512605042016808, '5': 1.0, '6': 0.0032679738562091504, '7': 0.0032679738562091504, '8': 0.0031512605042016808, '9': 0.0035294117647058825, '10': 0.0, '11': 0.023572664359861592, '12': 0.011728983091212196, '13': 0.010055304172951232, '14': 0.00980392156862745, '15': 0.008083935328517372, '16': 0.0, '17': 0.008083935328517372, '18': 0.3022015823873409, '19': 0.0, '20': 0.14705882352941177, '21': 0.008335317932841153, '22': 0.3006535947712418, '23': 0.3461053440984237, '24': 0.015371306893798245, '25': 0.29411764705882354, '26': 0.3041729512317748, '27': 0.15878780662062394, '28': 0.0031512605042016808, '29': 0.15539414146225292, '30': 0.3348813209494324, '31': 0.008083935328517372, '32': 0.16636678200692043, '33': 0.0031512605042016808, '34': 0.04612870789341378, '35': 0.0031512605042016808, '36': 0.0031512605042016808, '37': 0.3299486461251167, '38': 0.15878780662062394, '39': 0.0156656346749226, '40': 0.004699248120300752, '41': 0.014297385620915034, '42': 0.4444444444444444, '43': 0.004815961472308222, '44': 0.04612870789341378, '45': 0.0, '46': 0.04612870789341378, '47': 0.012136222910216718, '48': 0.012136222910216718, '49': 0.15200047630388186, '50': 0.16050779286073405, '51': 0.006535947712418301, '52': 0.011728983091212196, '53': 0.04326797385620915, '54': 0.006535947712418301, '55': 0.04076367389060887, '56': 0.0031512605042016808, '57': 0.04612870789341378, '58': 0.0032679738562091504, '59': 0.04076367389060887, '60': 0.00980392156862745, '61': 0.004815961472308222, '62': 0.09710207612456748, '63': 0.02244955953395851, '64': 0.05006535947712419, '65': 0.0067873303167420825, '66': 0.008083935328517372, '67': 0.04128654970760234, '68': 0.010055304172951232, '69': 0.010588235294117647, '70': 0.004699248120300752, '71': 0.008083935328517372, '72': 0.3373856209150327, '73': 0.004699248120300752, '74': 0.010180995475113124, '75': 0.008335317932841153, '76': 0.010326797385620916, '77': 0.0031512605042016808, '78': 0.3022015823873409, '79': 0.004699248120300752, '80': 0.0067873303167420825, '81': 0.008083935328517372, '82': 0.1517580716497125, '83': 0.010055304172951232, '84': 0.0031512605042016808, '85': 0.014297385620915034, '86': 0.0031512605042016808, '87': 0.04612870789341378, '88': 0.1517580716497125, '89': 0.04326797385620915, '90': 0.03583099906629319, '91': 0.29411764705882354, '92': 0.15021008403361344, '93': 0.1517580716497125, '94': 0.0483453732370141, '95': 0.16243013042321, '96': 0.03583099906629319, '97': 0.010055304172951232, '98': 0.0, '99': 0.013448969331322273}"
6,Benjamin,Rivera,Finance,Tufts,profileImages/15.jpg,"[45, 32, 65, 67, 23]","[3, 10, 38, 15, 12, 67, 70, 95, 24, 83]","{'0': 0.0, '1': 0.0032679738562091504, '2': 0.006535947712418301, '3': 0.2973856209150327, '4': 0.0031512605042016808, '5': 0.0032679738562091504, '6': 1.0, '7': 0.0, '8': 0.0031512605042016808, '9': 0.0, '10': 0.2988168951791243, '11': 0.0031512605042016808, '12': 0.303921568627451, '13': 0.013856209150326797, '14': 0.15723981900452488, '15': 0.29411764705882354, '16': 0.014297385620915034, '17': 0.15514275885792914, '18': 0.008083935328517372, '19': 0.15539414146225292, '20': 0.046535947712418306, '21': 0.008335317932841153, '22': 0.1568627450980392, '23': 0.2972689075630252, '24': 0.48194014447884415, '25': 0.1517580716497125, '26': 0.05065359477124183, '27': 0.0031512605042016808, '28': 0.19712418300653595, '29': 0.0067873303167420825, '30': 0.011728983091212196, '31': 0.0, '32': 0.15359477124183007, '33': 0.0156656346749226, '34': 0.16272445820433437, '35': 0.0444087216533037, '36': 0.0, '37': 0.05841503267973856, '38': 0.2988168951791243, '39': 0.0, '40': 0.19146754518271544, '41': 0.15200047630388186, '42': 0.0032679738562091504, '43': 0.15539414146225292, '44': 0.00980392156862745, '45': 0.14705882352941177, '46': 0.0, '47': 0.18455452356381147, '48': 0.03594771241830066, '49': 0.0033936651583710412, '50': 0.008083935328517372, '51': 0.14705882352941177, '52': 0.0031512605042016808, '53': 0.16695501730103807, '54': 0.01738562091503268, '55': 0.00980392156862745, '56': 0.08919504643962849, '57': 0.01738562091503268, '58': 0.01577854671280277, '59': 0.22712418300653595, '60': 0.010180995475113124, '61': 0.010055304172951232, '62': 0.013448969331322273, '63': 0.163312693498452, '64': 0.0392156862745098, '65': 0.29411764705882354, '66': 0.008083935328517372, '67': 0.44978328173374615, '68': 0.0, '69': 0.008335317932841153, '70': 0.44587571870853604, '71': 0.15878780662062394, '72': 0.008335317932841153, '73': 0.008083935328517372, '74': 0.004699248120300752, '75': 0.008335317932841153, '76': 0.007058823529411765, '77': 0.19540419676642587, '78': 0.01930795847750865, '79': 0.01738562091503268, '80': 0.004815961472308222, '81': 0.19712418300653595, '82': 0.008083935328517372, '83': 0.4411764705882353, '84': 0.004699248120300752, '85': 0.03607340372046255, '86': 0.008083935328517372, '87': 0.19540419676642587, '88': 0.0031512605042016808, '89': 0.0, '90': 0.17279411764705882, '91': 0.004699248120300752, '92': 0.04612870789341378, '93': 0.013448969331322273, '94': 0.0, '95': 0.33852636871212727, '96': 0.004699248120300752, '97': 0.15384615384615385, '98': 0.008083935328517372, '99': 0.15514275885792914}"
7,Lucas,Carter,Healthcare,Havard,profileImages/17.jpg,"[55, 43, 96, 9, 25]","[27, 20, 33, 93, 56, 47, 9, 86, 36, 98]","{'0': 0.15384615384615385, '1': 0.0, '2': 0.0031512605042016808, '3': 0.1503267973856209, '4': 0.15021008403361344, '5': 0.0032679738562091504, '6': 0.0, '7': 1.0, '8': 0.15359477124183007, '9': 0.5882352941176471, '10': 0.008083935328517372, '11': 0.1517580716497125, '12': 0.16444444444444445, '13': 0.04101505649493266, '14': 0.032821824381926684, '15': 0.0031512605042016808, '16': 0.0, '17': 0.0031512605042016808, '18': 0.0, '19': 0.016253869969040248, '20': 0.29411764705882354, '21': 0.010055304172951232, '22': 0.004699248120300752, '23': 0.008083935328517372, '24': 0.011728983091212196, '25': 0.15175807164971253, '26': 0.0, '27': 0.2988168951791243, '28': 0.011728983091212196, '29': 0.04893360853113175, '30': 0.15021008403361344, '31': 0.01930795847750865, '32': 0.0, '33': 0.44432773109243695, '34': 0.04076367389060887, '35': 0.00980392156862745, '36': 0.2988168951791243, '37': 0.14705882352941177, '38': 0.008083935328517372, '39': 0.042860734037204626, '40': 0.0392156862745098, '41': 0.0049416527744701125, '42': 0.0, '43': 0.23272445820433438, '44': 0.1517580716497125, '45': 0.0156656346749226, '46': 0.20138888888888887, '47': 0.31209150326797386, '48': 0.04101505649493266, '49': 0.016219723183391006, '50': 0.015371306893798245, '51': 0.011728983091212196, '52': 0.006535947712418301, '53': 0.004815961472308222, '54': 0.0031512605042016808, '55': 0.3348813209494324, '56': 0.2972689075630252, '57': 0.01411764705882353, '58': 0.15539414146225292, '59': 0.01738562091503268, '60': 0.004699248120300752, '61': 0.02244955953395851, '62': 0.0031512605042016808, '63': 0.05705163565852599, '64': 0.18288982259570494, '65': 0.004815961472308222, '66': 0.0031512605042016808, '67': 0.010326797385620916, '68': 0.1503267973856209, '69': 0.15539414146225292, '70': 0.0, '71': 0.00980392156862745, '72': 0.14705882352941177, '73': 0.18288982259570494, '74': 0.011728983091212196, '75': 0.05065359477124183, '76': 0.008606811145510837, '77': 0.004699248120300752, '78': 0.0031512605042016808, '79': 0.14705882352941177, '80': 0.1830065359477124, '81': 0.008083935328517372, '82': 0.013448969331322273, '83': 0.004815961472308222, '84': 0.011728983091212196, '85': 0.007058823529411765, '86': 0.2972689075630252, '87': 0.00980392156862745, '88': 0.013448969331322273, '89': 0.06001188354129531, '90': 0.011728983091212196, '91': 0.00980392156862745, '92': 0.08525839485591809, '93': 0.2988168951791243, '94': 0.16243013042321, '95': 0.011728983091212196, '96': 0.3348813209494324, '97': 0.004815961472308222, '98': 0.3022015823873409, '99': 0.04076367389060887}"
8,Mason,Brown,Finance,Havard,profileImages/16.jpg,"[68, 36, 42, 81, 84]","[2, 73, 39, 45, 85, 99, 82, 51, 69, 96]","{'0': 0.1517580716497125, '1': 0.006535947712418301, '2': 0.2971602434077079, '3': 0.14705882352941177, '4': 0.15336134453781514, '5': 0.0031512605042016808, '6': 0.0031512605042016808, '7': 0.15359477124183007, '8': 1.0, '9': 0.1504524886877828, '10': 0.004590583964983452, '11': 0.14705882352941177, '12': 0.15662931839402428, '13': 0.008083935328517372, '14': 0.011351909184726523, '15': 0.004590583964983452, '16': 0.008335317932841153, '17': 0.0030425963488843813, '18': 0.020915032679738564, '19': 0.0, '20': 0.0031512605042016808, '21': 0.04679738562091504, '22': 0.007850508624502433, '23': 0.004590583964983452, '24': 0.007850508624502433, '25': 0.007850508624502433, '26': 0.008083935328517372, '27': 0.038982259570494865, '28': 0.009570494864612512, '29': 0.013448969331322273, '30': 0.18604108309990663, '31': 0.004590583964983452, '32': 0.038982259570494865, '33': 0.16013071895424835, '34': 0.0130718954248366, '35': 0.0130718954248366, '36': 0.1584107327141383, '37': 0.15841073271413827, '38': 0.0, '39': 0.33464789424541747, '40': 0.05551710880430605, '41': 0.004815961472308222, '42': 0.15021008403361344, '43': 0.01930795847750865, '44': 0.1875890707160057, '45': 0.2971602434077079, '46': 0.1875890707160057, '47': 0.011728983091212196, '48': 0.01738562091503268, '49': 0.004815961472308222, '50': 0.007850508624502433, '51': 0.29411764705882354, '52': 0.018764972052169288, '53': 0.004699248120300752, '54': 0.022837370242214536, '55': 0.15010141987829614, '56': 0.0063025210084033615, '57': 0.007850508624502433, '58': 0.15723981900452488, '59': 0.016842634489693316, '60': 0.05032679738562092, '61': 0.004699248120300752, '62': 0.0030425963488843813, '63': 0.09091503267973856, '64': 0.15010141987829614, '65': 0.013448969331322273, '66': 0.09272445820433438, '67': 0.0032679738562091504, '68': 0.303921568627451, '69': 0.44432773109243695, '70': 0.00980392156862745, '71': 0.007850508624502433, '72': 0.18782249742002063, '73': 0.45801910507792865, '74': 0.0130718954248366, '75': 0.0031512605042016808, '76': 0.05257593233371781, '77': 0.009570494864612512, '78': 0.0030425963488843813, '79': 0.18278115844038764, '80': 0.15514275885792914, '81': 0.15662931839402428, '82': 0.33814929480564154, '83': 0.0031512605042016808, '84': 0.16390145801910508, '85': 0.3300653594771242, '86': 0.0063025210084033615, '87': 0.0063025210084033615, '88': 0.020915032679738564, '89': 0.004699248120300752, '90': 0.007850508624502433, '91': 0.009570494864612512, '92': 0.007850508624502433, '93': 0.04053024718659393, '94': 0.1549093321539142, '95': 0.0, '96': 0.44421906693711966, '97': 0.008083935328517372, '98': 0.04575163398692811, '99': 0.29411764705882354}"
9,Ethan,Lopez,Consulting,Havard,profileImages/12.jpg,"[7, 73, 63, 13, 46]","[7, 14, 89, 49, 88, 35, 48, 63, 13, 50]","{'0': 0.15058823529411766, '1': 0.0, '2': 0.0, '3': 0.14705882352941177, '4': 0.15411764705882353, '5': 0.0035294117647058825, '6': 0.0, '7': 0.5882352941176471, '8': 0.1504524886877828, '9': 1.0, '10': 0.008606811145510837, '11': 0.16135620915032678, '12': 0.14705882352941177, '13': 0.4447058823529412, '14': 0.29411764705882354, '15': 0.007058823529411765, '16': 0.015300059417706475, '17': 0.010326797385620916, '18': 0.014297385620915034, '19': 0.03620915032679739, '20': 0.014776925262858766, '21': 0.04158066735466116, '22': 0.016219723183391006, '23': 0.008606811145510837, '24': 0.0033936651583710412, '25': 0.04957299472039006, '26': 0.0, '27': 0.05321531852297612, '28': 0.008606811145510837, '29': 0.005077399380804953, '30': 0.1504524886877828, '31': 0.03973856209150327, '32': 0.02269820971867008, '33': 0.16327854671280276, '34': 0.0049416527744701125, '35': 0.29411764705882354, '36': 0.04697712418300654, '37': 0.1504524886877828, '38': 0.0049416527744701125, '39': 0.014297385620915034, '40': 0.0033936651583710412, '41': 0.0, '42': 0.04745666382495027, '43': 0.04158066735466116, '44': 0.1639520796877103, '45': 0.010326797385620916, '46': 0.29411764705882354, '47': 0.010620915032679739, '48': 0.33032679738562093, '49': 0.2993421052631579, '50': 0.29411764705882354, '51': 0.014297385620915034, '52': 0.007058823529411765, '53': 0.0, '54': 0.0, '55': 0.18834537323701409, '56': 0.02269820971867008, '57': 0.007058823529411765, '58': 0.15213622291021672, '59': 0.0049416527744701125, '60': 0.010326797385620916, '61': 0.0035294117647058825, '62': 0.0033936651583710412, '63': 0.4411764705882353, '64': 0.14705882352941177, '65': 0.014776925262858766, '66': 0.03607340372046255, '67': 0.005224458204334365, '68': 0.18709150326797386, '69': 0.1576797385620915, '70': 0.0, '71': 0.0033936651583710412, '72': 0.15595975232198142, '73': 0.29751131221719457, '74': 0.008606811145510837, '75': 0.0035294117647058825, '76': 0.003676470588235294, '77': 0.010326797385620916, '78': 0.04128654970760234, '79': 0.15738562091503266, '80': 0.19451548735436203, '81': 0.0049416527744701125, '82': 0.0033936651583710412, '83': 0.010620915032679739, '84': 0.02053557996088461, '85': 0.017222396980182447, '86': 0.0049416527744701125, '87': 0.0033936651583710412, '88': 0.33540419676642586, '89': 0.29411764705882354, '90': 0.007058823529411765, '91': 0.04128654970760234, '92': 0.010326797385620916, '93': 0.014297385620915034, '94': 0.18679738562091502, '95': 0.0, '96': 0.1983518044899119, '97': 0.03620915032679739, '98': 0.0579235259166055, '99': 0.0033936651583710412}"
